Age,Gender,Education_Level,Marital_Status,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt_to_Income_Ratio,Assets_Value,Number_of_Dependents,City,State,Country,Previous_Defaults,Marital_Status_Change,Risk_Rating
24,Male,Bachelor's,Single,,627,,Personal,Self-employed,12,Fair,0.255696688,147499,3,East Helenhaven,VT,French Southern Territories,4,2,Low
23,Male,Bachelor's,Married,62541,680,,Business,Employed,8,Excellent,0.244546545,,4,Port Joseph,RI,San Marino,,2,Medium
38,Non-binary,Bachelor's,Single,48069,670,17841,Home,Unemployed,17,Excellent,0.157519127,241550,2,Jacksonmouth,WA,Jordan,0,2,Low
28,Female,High School,Married,56895,,,Personal,Self-employed,14,Poor,0.227617324,128403,2,North Marcbury,WA,Turkey,1,1,Low
35,Female,PhD,Married,72433,792,5747,Business,Self-employed,4,Good,0.327373935,112076,0,Andreaborough,NC,Thailand,3,2,Low
50,Non-binary,PhD,Divorced,,640,47751,Auto,Self-employed,10,Fair,0.343555167,,3,Cynthiabury,DC,Zimbabwe,4,0,Medium
56,Female,Master's,Single,,734,40516,Auto,Self-employed,9,Poor,0.378206875,203231,1,New Zachary,IN,Swaziland,3,1,Low
22,Non-binary,Master's,Widowed,65266,617,34746,Home,Unemployed,18,Poor,0.268944281,40215,4,Taylormouth,ND,Botswana,1,1,Low
40,Male,Master's,Widowed,98578,663,8747,Auto,Self-employed,1,Good,0.514670637,37396,0,Jacobview,WV,Russian Federation,0,1,Low
39,Male,High School,Married,90227,770,18079,Business,Employed,3,Poor,0.518758954,163838,1,South Brianna,GU,Mali,0,1,Low
31,Non-binary,High School,Divorced,107081,740,18101,Business,Employed,5,Poor,0.108793817,25157,2,Gordonbury,AL,Ukraine,1,2,Low
45,Female,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,Penamouth,NH,Ethiopia,4,1,Low
62,Non-binary,Bachelor's,Widowed,46439,645,,Auto,Employed,6,Poor,0.443604125,277288,,East Kevinmouth,VI,Togo,,2,Low
34,Non-binary,High School,Widowed,44085,687,,Home,Unemployed,9,Poor,0.448937891,253262,2,Lake Ashleyland,AR,Belize,0,1,Low
19,Male,High School,Married,35817,731,44426,Home,Unemployed,1,Fair,0.505459747,20626,1,East Triciatown,WI,Angola,0,2,Low
49,Non-binary,Bachelor's,Married,54648,,20427,Personal,Unemployed,8,Fair,0.121472995,276619,1,West Mirandaborough,MA,Anguilla,4,0,Medium
36,Female,High School,Married,65104,699,44260,Home,Employed,2,Excellent,0.337761725,135458,4,Zacharyhaven,NM,Guatemala,2,2,Low
43,Male,PhD,Married,109698,793,46500,Personal,Self-employed,11,Good,0.347851155,159076,,Tristanland,AZ,United States Minor Outlying Islands,1,1,Medium
23,Male,Bachelor's,Single,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,2,Lake Evelynstad,CA,Monaco,0,0,Low
22,Male,Master's,Widowed,104766,764,16117,Business,Unemployed,17,Good,0.211525061,156630,3,New Shannonberg,KY,Gambia,3,1,Low
41,Female,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,0,Onealfurt,WA,Romania,4,0,Low
57,Male,Master's,Single,116102,629,31831,Home,Employed,16,Excellent,0.516362513,228018,4,Smithborough,IA,Palestinian Territory,2,0,Medium
31,Female,PhD,Widowed,105141,,41006,Auto,Self-employed,3,Good,0.162774178,26499,3,Traceyton,SD,Suriname,1,2,Low
58,Non-binary,High School,Widowed,20947,776,38756,Personal,Unemployed,0,Good,0.218403224,91848,4,North Jeff,MT,Burundi,,1,Low
36,Non-binary,PhD,Single,,660,11157,Home,Self-employed,7,Excellent,0.297577945,,2,Diazton,WV,Guatemala,2,0,Medium
52,Male,High School,Married,32094,634,17612,Home,Self-employed,17,Good,0.549456544,114375,2,West Robert,IA,Singapore,2,0,Medium
22,Female,High School,Single,67984,,49459,Business,Employed,12,Fair,0.13482981,174044,3,West Daniel,MS,Malawi,,0,Medium
55,Non-binary,Master's,Widowed,108177,735,23616,Business,Employed,12,Fair,0.335284356,165613,2,Barneston,CA,Saint Pierre and Miquelon,1,2,Medium
44,Female,High School,Divorced,30295,686,,Home,Unemployed,19,Good,0.252783311,,0,East Ian,PW,Costa Rica,0,2,Low
41,Female,PhD,Widowed,96591,722,7260,Home,Employed,12,Fair,0.584494809,102681,0,New Shelby,KS,Lesotho,2,2,Medium
33,Male,PhD,Single,,624,47874,Personal,Employed,13,Excellent,0.455208343,28057,1,North Jodyside,NM,Brazil,,1,Low
40,Male,Master's,Married,83865,663,15896,Auto,Unemployed,6,Excellent,0.358704651,,3,West Jeffrey,MT,India,0,2,Low
53,Female,High School,Married,51236,718,31196,Personal,Self-employed,3,Poor,0.168630607,45029,1,Ellenbury,AS,Uruguay,,1,Low
18,Non-binary,Master's,Single,,651,18653,Home,Self-employed,16,Good,0.49222995,226806,0,Curtisville,PW,Mayotte,3,1,High
37,Non-binary,High School,Divorced,42970,703,,Personal,Employed,12,Poor,0.358687273,,,East Jesse,PW,Finland,1,2,Medium
36,Non-binary,PhD,Divorced,101863,688,31132,Business,Employed,2,Poor,0.219403114,149141,3,Dunnhaven,MN,Saint Pierre and Miquelon,,2,Low
67,Male,Master's,Widowed,107366,655,20154,Home,Employed,9,Poor,0.416617868,108345,4,New Valerie,GA,Monaco,4,1,Low
62,Female,PhD,Widowed,101848,699,45635,Home,Self-employed,7,Poor,0.591653333,,,Payneville,NH,Kuwait,,2,High
60,Female,PhD,Married,74030,711,9459,Personal,Unemployed,19,Fair,0.160676888,96641,2,Lake Daniel,PW,Argentina,0,2,Low
39,Male,Master's,Divorced,56116,636,16578,Personal,Employed,12,Excellent,0.313107732,197835,1,Johnnyberg,NY,South Africa,1,0,Medium
59,Male,PhD,Single,103794,,9288,Auto,Unemployed,2,Excellent,0.412109478,195205,,Williamsport,WV,Paraguay,2,1,Low
50,Male,Bachelor's,Married,79300,697,26963,Home,Employed,1,Good,0.216722419,,,New Derekmouth,MH,Mozambique,0,1,Low
64,Male,PhD,Single,101855,686,48584,Auto,Self-employed,9,Good,0.572524406,138039,3,East Keith,MS,El Salvador,3,1,Low
40,Male,PhD,Single,89535,624,12990,Auto,Unemployed,6,Good,0.117355071,48187,,South Haileyview,NC,Suriname,3,2,Low
18,Non-binary,PhD,Divorced,107329,735,22694,Home,Self-employed,1,Poor,0.23280902,71327,4,East Michael,MP,Netherlands Antilles,,1,Low
42,Non-binary,Master's,Widowed,61048,,17631,Business,Employed,19,Excellent,0.266383747,252248,1,Strongport,OH,Russian Federation,3,0,Low
39,Non-binary,High School,Widowed,99622,720,23158,Auto,Employed,6,Good,0.419813928,65046,4,New Ashley,MN,El Salvador,2,1,Low
67,Male,PhD,Divorced,110896,689,11503,Business,Self-employed,9,Excellent,0.106251703,121360,0,New Russellfurt,HI,Jersey,2,0,Medium
28,Female,PhD,Single,64541,703,20017,Auto,Self-employed,1,Good,0.206311988,24856,4,Lake Keithtown,MO,Suriname,1,1,High
53,Non-binary,PhD,Single,26613,771,6982,Auto,Employed,5,Fair,0.107198287,56108,2,Gouldbury,CO,Maldives,,0,Low
40,Male,Bachelor's,Divorced,,721,41599,Auto,Unemployed,19,Fair,0.363903795,234986,,South Amanda,HI,Iran,1,1,Low
31,Female,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,4,Margaretchester,KY,Mayotte,3,2,Low
48,Male,Master's,Divorced,107050,711,14382,Business,Self-employed,3,Excellent,0.502107966,142063,1,New Janet,CT,Samoa,1,1,Medium
20,Non-binary,PhD,Divorced,,713,19353,Personal,Self-employed,7,Good,0.554183083,253330,3,Stephanieborough,OR,Bosnia and Herzegovina,,1,Medium
20,Non-binary,Master's,Widowed,91540,760,,Business,Employed,16,Poor,0.232628264,177884,,East Territown,NE,Wallis and Futuna,0,0,Low
22,Male,PhD,Single,,632,,Personal,Unemployed,1,Excellent,0.126001223,83144,4,Port Tylermouth,HI,Sweden,3,1,Medium
35,Male,High School,Divorced,114877,699,46113,Business,Unemployed,6,Excellent,0.389906857,254153,0,Port Andreamouth,WV,Luxembourg,1,1,Medium
36,Female,Bachelor's,Divorced,44283,755,42326,Personal,Self-employed,7,Poor,0.116135309,228890,4,Turnerchester,NV,Micronesia,0,2,Low
59,Female,High School,Single,60385,743,30961,Business,Self-employed,19,Excellent,0.383779017,222830,4,Greenport,WV,Azerbaijan,2,0,Low
28,Male,Master's,Divorced,,618,,Personal,Unemployed,14,Poor,0.346111901,25885,3,South Jeremy,SC,Myanmar,0,0,Medium
66,Female,Master's,Divorced,47785,,14137,Auto,Employed,16,Fair,0.369847066,147601,1,South Maria,NM,Czech Republic,4,0,Medium
36,Non-binary,Bachelor's,Single,69895,680,13132,Business,Unemployed,18,Poor,0.593281265,,2,Heathermouth,ME,Turkey,0,0,Low
60,Male,High School,Divorced,61559,623,9038,Home,Unemployed,16,Fair,0.530640775,,1,New Kevin,OH,Guinea-Bissau,,1,Low
63,Female,High School,Single,40113,722,5044,Personal,Employed,1,Excellent,0.496244458,159493,3,New Martinberg,OR,Cyprus,,2,Low
43,Female,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,4,Frankport,NE,Austria,3,0,Low
39,Non-binary,Bachelor's,Divorced,31137,757,7326,Personal,Unemployed,9,Poor,0.441794267,68848,3,North Nathantown,MN,Indonesia,1,2,Medium
62,Female,PhD,Divorced,115923,726,37406,Personal,Self-employed,17,Good,0.287310878,154178,1,West Elizabethside,MA,Peru,2,1,High
39,Male,High School,Single,117661,763,8876,Home,Unemployed,15,Poor,0.565118423,,2,New Brianshire,PW,Armenia,2,1,Low
22,Female,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,1,New Kathryn,OR,Norway,0,1,Low
59,Female,Master's,Divorced,91035,,44865,Personal,Self-employed,5,Poor,0.427505537,,,Kristinfort,AR,Algeria,1,0,Medium
37,Non-binary,PhD,Divorced,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,4,Andreaborough,NV,Bangladesh,3,0,Low
58,Male,PhD,Single,69029,,39742,Auto,Unemployed,12,Fair,0.369606846,,4,Phillipsbury,AL,American Samoa,4,1,Low
47,Female,PhD,Married,65463,710,,Home,Unemployed,4,Good,0.509355158,230368,4,Anthonyside,NH,Ireland,4,2,Low
58,Non-binary,Bachelor's,Single,,791,34903,Auto,Self-employed,7,Good,0.177489309,236635,3,New Marisashire,NE,Namibia,0,0,Low
51,Non-binary,Bachelor's,Married,40561,632,42722,Personal,Unemployed,3,Good,0.381899834,,,North Feliciaville,VA,Iran,0,2,Low
25,Female,Bachelor's,Single,23159,634,,Business,Employed,11,Good,0.593406902,241024,3,Stevensonborough,NV,Egypt,,2,Medium
27,Non-binary,High School,Widowed,61232,643,46522,Business,Unemployed,6,Fair,0.151099075,285561,2,Villafurt,RI,Sao Tome and Principe,2,0,Low
36,Female,Bachelor's,Single,108304,675,46461,Auto,Self-employed,15,Excellent,0.134004327,,0,South Teresaburgh,IL,Japan,1,2,Medium
56,Non-binary,Bachelor's,Widowed,,728,42333,Home,Employed,17,Good,0.345462911,,2,Amandabury,NC,Australia,3,2,Low
34,Female,High School,Widowed,118679,731,40823,Auto,Employed,6,Poor,0.353951633,63853,,North Jeremy,AS,Georgia,0,2,Low
65,Male,Master's,Single,89126,643,38741,Auto,Employed,0,Excellent,0.131449159,50589,1,New Julieside,AK,Martinique,4,0,High
34,Female,PhD,Divorced,35198,718,,Business,Unemployed,9,Good,0.155828771,222837,,Port Matthew,NE,Panama,3,1,Low
66,Non-binary,PhD,Widowed,104677,784,24588,Home,Unemployed,9,Fair,0.304836002,50584,4,South Karen,NM,Finland,4,0,Low
30,Non-binary,PhD,Single,,699,29559,Home,Unemployed,10,Poor,0.181094003,203837,0,North Amber,NE,United States Virgin Islands,0,0,Low
59,Female,Master's,Married,80047,697,42968,Business,Employed,0,Fair,0.36146304,,1,North Theresaville,ID,Samoa,1,1,Medium
27,Non-binary,Master's,Divorced,80523,604,13043,Auto,Employed,15,Excellent,0.112270249,201865,3,North Jessicachester,WY,Andorra,4,1,Low
64,Non-binary,PhD,Divorced,117835,640,45787,Business,Self-employed,19,Excellent,0.41214393,,0,Odomfort,HI,Cape Verde,2,0,Medium
61,Non-binary,PhD,Divorced,,604,29783,Personal,Employed,13,Excellent,0.410342991,,3,Humphreymouth,CO,Cocos (Keeling) Islands,1,2,High
67,Female,Bachelor's,Divorced,,750,46529,Auto,Self-employed,19,Fair,0.448739802,290306,0,Hodgesville,NV,Micronesia,0,1,Low
32,Non-binary,Master's,Married,91656,661,,Personal,Self-employed,1,Excellent,0.515295615,,4,Amyview,CO,United Arab Emirates,,2,High
43,Non-binary,Master's,Single,87687,791,16663,Auto,Unemployed,9,Fair,0.315225662,291278,,Jordanville,CT,Solomon Islands,1,0,Medium
46,Female,PhD,Divorced,81289,722,,Auto,Employed,13,Fair,0.248479439,103462,3,East Brenda,TN,Burkina Faso,3,2,Low
56,Female,Bachelor's,Widowed,27807,681,,Personal,Employed,12,Fair,0.497042103,178108,0,Johnbury,WI,Kiribati,2,0,Medium
35,Male,Bachelor's,Widowed,,711,15286,Personal,Employed,1,Excellent,0.383451591,156329,,North Taylorville,NV,Niger,2,0,Low
37,Female,PhD,Single,20987,640,8042,Home,Employed,12,Fair,0.442812684,55772,3,Bradleyshire,NE,Falkland Islands (Malvinas),1,1,Low
24,Non-binary,Master's,Widowed,61876,791,7070,Personal,Unemployed,0,Excellent,0.114673538,131369,2,East Stephentown,SD,Slovakia (Slovak Republic),,0,Low
31,Female,Master's,Widowed,108454,716,33552,Personal,Unemployed,8,Poor,0.588002314,24976,,South Danielleview,VT,Chile,2,0,High
25,Male,Master's,Widowed,,753,,Personal,Self-employed,7,Excellent,0.104689105,101481,2,Lake Brendan,AS,Brunei Darussalam,3,1,Low
18,Female,PhD,Single,87346,,26863,Home,Employed,11,Poor,0.556599054,164061,3,South Jeremyfurt,AK,Cote d'Ivoire,3,1,Low
26,Male,High School,Widowed,28583,611,29949,Personal,Employed,19,Excellent,0.200143793,139629,3,West Ashleyberg,KS,Libyan Arab Jamahiriya,2,0,Medium
43,Female,PhD,Divorced,,705,12071,Business,Employed,8,Good,0.119108756,85658,,Andrewshire,DE,Djibouti,2,0,Low
53,Female,High School,Married,31340,790,6687,Business,Self-employed,4,Excellent,0.195110048,,2,Charlesstad,OH,Samoa,,2,Low
41,Male,Bachelor's,Widowed,50737,624,,Auto,Self-employed,4,Good,0.538422931,261675,,Christensenfurt,GA,Yemen,2,1,Medium
61,Non-binary,Master's,Widowed,88056,684,9746,Personal,Employed,15,Good,0.361356668,48339,,Meganfurt,NE,Comoros,,0,Low
25,Male,PhD,Single,115287,,9520,Auto,Unemployed,3,Excellent,0.39251234,69459,3,Darrenstad,NH,Iran,1,2,Low
21,Male,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,3,Martinezmouth,PA,Costa Rica,0,2,Low
52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,Victoriamouth,MN,Western Sahara,2,1,Low
27,Female,High School,Divorced,102789,742,10729,Business,Employed,17,Good,0.271307607,269293,0,Lauratown,AL,Vanuatu,1,0,Medium
34,Non-binary,Bachelor's,Widowed,,793,21504,Auto,Employed,12,Good,0.435937741,179496,2,Karenton,KS,Mali,2,1,Low
